Timezones: 1
Timezone( 1 ): 15
DT: 0.1
DirichletBoundaryCondition( 1 ): 41
1  1  1 10.0
1  2  1 10.0
1  3  1 10.0
1  4  1 10.0
1  5  1 10.0
1  6  1 10.0
1  7  1 10.0
1  8  1 10.0
1  9  1 10.0
1  10 1 10.0
1  11 1 10.0
2  1  1 10.0
2  11 1 10.0
3  1  1 10.0
3  11 1 10.0
4  1  1 10.0
4  11 1 10.0
5  1  1 10.0
5  11 1 10.0
6  1  1 10.0
6  11 1 10.0
7  1  1 10.0
7  11 1 10.0
8  1  1 10.0
8  11 1 10.0
9  1  1 10.0
9  11 1 10.0
10 1  1 10.0
10 11 1 10.0
11 1  1 10.0
11 2  1 10.0
11 3  1 10.0
11 4  1 10.0
11 5  1 10.0
11 6  1 10.0
11 7  1 10.0
11 8  1 10.0
11 9  1 10.0
11 10 1 10.0
11 11 1 10.0
6  6  1 5.0
SourceBoundaryCondition( 1 ): 0
CauchyBoundaryCondition( 1 ): 0
