"Property","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,1,0,60.5,19.5,0
1,1,0.41,60.5,19.5,0.41
1,1,0.82,60.5,19.5,0.82
1,1,1.23,60.5,19.5,1.23
1,1,1.64,60.5,19.5,1.64
1,1,2.05,60.5,19.5,2.05
1,1,2.46,60.5,19.5,2.46
1,1,2.87,60.5,19.5,2.87
1,1,3.28,60.5,19.5,3.28
1,1,3.69,60.5,19.5,3.69
1,1,4.1,60.5,19.5,4.1
1,1,4.51,60.5,19.5,4.51
1,1,4.92,60.5,19.5,4.92
1,1,5.33,60.5,19.5,5.33
1,1,5.74,60.5,19.5,5.74
2,1,6.15,60.5,19.5,6.15
2,1,6.56,60.5,19.5,6.56
2,1,6.97,60.5,19.5,6.97
2,1,7.38,60.5,19.5,7.38
2,1,7.79,60.5,19.5,7.79
1,1,8.2,60.5,19.5,8.2
1,1,8.61,60.5,19.5,8.61
1,1,9.02,60.5,19.5,9.02
1,1,9.43,60.5,19.5,9.43
1,1,9.84,60.5,19.5,9.84
2,1,10.25,60.5,19.5,10.25
2,1,10.66,60.5,19.5,10.66
1,1,11.07,60.5,19.5,11.07
1,1,11.48,60.5,19.5,11.48
1,1,11.89,60.5,19.5,11.89
1,1,12.3,60.5,19.5,12.3
1,1,12.71,60.5,19.5,12.71
1,1,13.12,60.5,19.5,13.12
1,1,13.53,60.5,19.5,13.53
1,1,13.94,60.5,19.5,13.94
1,1,14.35,60.5,19.5,14.35
1,1,14.76,60.5,19.5,14.76
1,1,15.17,60.5,19.5,15.17
1,1,15.58,60.5,19.5,15.58
1,1,15.99,60.5,19.5,15.99
1,1,16.4,60.5,19.5,16.4
1,1,16.81,60.5,19.5,16.81
1,1,17.22,60.5,19.5,17.22
1,1,17.63,60.5,19.5,17.63
1,1,18.04,60.5,19.5,18.04
1,1,18.45,60.5,19.5,18.45
1,1,18.86,60.5,19.5,18.86
1,1,19.27,60.5,19.5,19.27
1,1,19.68,60.5,19.5,19.68
1,1,20.09,60.5,19.5,20.09
1,1,20.5,60.5,19.5,20.5
1,1,20.91,60.5,19.5,20.91
1,1,21.32,60.5,19.5,21.32
1,1,21.73,60.5,19.5,21.73
1,1,22.14,60.5,19.5,22.14
1,1,22.55,60.5,19.5,22.55
1,1,22.96,60.5,19.5,22.96
1,1,23.37,60.5,19.5,23.37
1,1,23.78,60.5,19.5,23.78
1,1,24.19,60.5,19.5,24.19
1,1,24.6,60.5,19.5,24.6
2,1,25.01,60.5,19.5,25.01
2,1,25.42,60.5,19.5,25.42
2,1,25.83,60.5,19.5,25.83
1,1,26.24,60.5,19.5,26.24
1,1,26.65,60.5,19.5,26.65
1,1,27.06,60.5,19.5,27.06
1,1,27.47,60.5,19.5,27.47
1,1,27.88,60.5,19.5,27.88
1,1,28.29,60.5,19.5,28.29
1,1,28.7,60.5,19.5,28.7
1,1,29.11,60.5,19.5,29.11
1,1,29.52,60.5,19.5,29.52
1,1,29.93,60.5,19.5,29.93
1,1,30.34,60.5,19.5,30.34
1,1,30.75,60.5,19.5,30.75
2,1,31.16,60.5,19.5,31.16
2,1,31.57,60.5,19.5,31.57
2,1,31.98,60.5,19.5,31.98
2,1,32.39,60.5,19.5,32.39
2,1,32.8,60.5,19.5,32.8
1,1,33.21,60.5,19.5,33.21
1,1,33.62,60.5,19.5,33.62
1,1,34.03,60.5,19.5,34.03
1,1,34.44,60.5,19.5,34.44
1,1,34.85,60.5,19.5,34.85
1,1,35.26,60.5,19.5,35.26
1,1,35.67,60.5,19.5,35.67
3,1,36.08,60.5,19.5,36.08
3,1,36.49,60.5,19.5,36.49
3,1,36.9,60.5,19.5,36.9
1,1,37.31,60.5,19.5,37.31
1,1,37.72,60.5,19.5,37.72
1,1,38.13,60.5,19.5,38.13
1,1,38.54,60.5,19.5,38.54
1,1,38.95,60.5,19.5,38.95
1,1,39.36,60.5,19.5,39.36
1,1,39.77,60.5,19.5,39.77
1,1,40.18,60.5,19.5,40.18
1,1,40.59,60.5,19.5,40.59
nan,0,41,60.5,19.5,41
